tradingsymbol,instrument_key
749RJ35,NSE_EQ|IN2920250163
716MH55,NSE_EQ|IN2220250236
KIMS,NSE_EQ|INE967H01025
INDSWFTLAB,NSE_EQ|INE915B01019
717MH54,NSE_EQ|IN2220250228
STARPAPER,NSE_EQ|INE733A01018
IPSL,NSE_EQ|INE02EE01019
LUMAXIND,NSE_EQ|INE162B01018
SANSERA,NSE_EQ|INE953O01021
HPTL,NSE_EQ|INE0VA601019
CHOLAFIN,NSE_EQ|INE121A01024
714MH46,NSE_EQ|IN2220250178
714MH45,NSE_EQ|IN2220250160
715MH47,NSE_EQ|IN2220250152
715MH46,NSE_EQ|IN2220250145
713MH48,NSE_EQ|IN2220250194
NEOGEN,NSE_EQ|INE136S01016
CGRAPHICS,NSE_EQ|INE0R7401011
712MH47,NSE_EQ|IN2220250186
PROLIFE,NSE_EQ|INE994V01012
SBILIQETF,NSE_EQ|INF200KB1969
ARVIND,NSE_EQ|INE034A01011
DHRUV,NSE_EQ|INE506Z01015
PNC,NSE_EQ|INE392B01011
715MH45,NSE_EQ|IN2220250137
704MH40,NSE_EQ|IN2220250129
708MH39,NSE_EQ|IN2220250111
HMT,NSE_EQ|INE262A01018
703MH38,NSE_EQ|IN2220250103
SECURKLOUD,NSE_EQ|INE650K01021
UYFINCORP,NSE_EQ|INE152C01025
DBOL,NSE_EQ|INE0I3401014
ELIQUID,NSE_EQ|INF754K01VW2
ELM250,NSE_EQ|INF754K01VV4
ESENSEX,NSE_EQ|INF754K01VY8
AVL,NSE_EQ|INE679V01027
ENIFTY,NSE_EQ|INF754K01VX0
677MH37,NSE_EQ|IN2220250053
672MH40,NSE_EQ|IN2220250046
675MH39,NSE_EQ|IN2220250038
672MH38,NSE_EQ|IN2220250020
VISHWAS,NSE_EQ|INE0S2E01016
DCBBANK,NSE_EQ|INE503A01015
698MH37,NSE_EQ|IN2220250095
675MH40,NSE_EQ|IN2220250087
678MH39,NSE_EQ|IN2220250079
677MH38,NSE_EQ|IN2220250061
SHEMAROO,NSE_EQ|INE363M01019
756WB39,NSE_EQ|IN3420220102
756WB42,NSE_EQ|IN3420220110
768WB32,NSE_EQ|IN3420220128
DEEM,NSE_EQ|INE586O01011
734NRL35,NSE_EQ|INE152D08010
772WB38,NSE_EQ|IN3420220136
774WB39,NSE_EQ|IN3420220144
SHIVAMILLS,NSE_EQ|INE644Y01017
793WB37,NSE_EQ|IN3420220151
795WB39,NSE_EQ|IN3420220169
691AS30,NSE_EQ|IN1220200084
TEJASNET,NSE_EQ|INE010J01012
764WB32,NSE_EQ|IN3420220177
763GA33,NSE_EQ|IN1420230196
767WB37,NSE_EQ|IN3420220185
RELINFRA,NSE_EQ|INE036A01016
767WB39,NSE_EQ|IN3420220193
77SHFL36,NSE_EQ|INE667F08202
77GA33A,NSE_EQ|IN1420230154
77GA33B,NSE_EQ|IN1420230162
716UP31,NSE_EQ|IN3320200337
SHANTIGEAR,NSE_EQ|INE631A01022
765GA33,NSE_EQ|IN1420230170
775GA33,NSE_EQ|IN1420230188
SHEETAL,NSE_EQ|INE04VX01019
749GA33A,NSE_EQ|IN1420230113
72UP31,NSE_EQ|IN3320200303
77GA33,NSE_EQ|IN1420230121
717UP31,NSE_EQ|IN3320200329
767GA33,NSE_EQ|IN1420230139
719UP31,NSE_EQ|IN3320200311
773GA33,NSE_EQ|IN1420230147
EBGNG,NSE_EQ|INE18JU01028
DHUNINV,NSE_EQ|INE320L01011
OSEINTRUST,NSE_EQ|INE07Z523018
743GJ31,NSE_EQ|IN1520230278
AQYLON,NSE_EQ|INE416A01051
742GJ33,NSE_EQ|IN1520230286
746GA33,NSE_EQ|IN1420230105
PSB,NSE_EQ|INE608A01012
68AS30,NSE_EQ|IN1220200050
742GJ31,NSE_EQ|IN1520230260
69AS30A,NSE_EQ|IN1220200068
ARSSBL,NSE_EQ|INE549H01021
655AS30A,NSE_EQ|IN1220200035
763GJ34,NSE_EQ|IN1520230237
763GJ33,NSE_EQ|IN1520230229
76GJ33,NSE_EQ|IN1520230245
8AS30,NSE_EQ|IN1220200019
764GJ34,NSE_EQ|IN1520230211
655AS30,NSE_EQ|IN1220200027
KOTHARIPRO,NSE_EQ|INE823A01017
764GJ33,NSE_EQ|IN1520230203
767WB41,NSE_EQ|IN3420220201
MEDANTA,NSE_EQ|INE474Q01031
VPRPL,NSE_EQ|INE0AE001013
767UK41,NSE_EQ|IN3620250107
763UK35,NSE_EQ|IN3620250115
788UK46,NSE_EQ|IN3620250123
773WB32,NSE_EQ|IN3420220011
708UP31,NSE_EQ|IN3320200295
783WB32,NSE_EQ|IN3420220029
796WB37,NSE_EQ|IN3420220037
ARCHIES,NSE_EQ|INE731A01020
782WB32,NSE_EQ|IN3420220045
802WB37,NSE_EQ|IN3420220052
664UP31,NSE_EQ|IN3320200261
DODLA,NSE_EQ|INE021O01019
662UP31,NSE_EQ|IN3320200253
NITINSPIN,NSE_EQ|INE229H01012
801WB41,NSE_EQ|IN3420220060
807WB38,NSE_EQ|IN3420220078
694UP31,NSE_EQ|IN3320200287
SCHNEIDER,NSE_EQ|INE839M01018
688UP31,NSE_EQ|IN3320200279
THELEELA,NSE_EQ|INE0AQ201015
797WB42,NSE_EQ|IN3420220086
PGHH,NSE_EQ|INE179A01014
789WB37,NSE_EQ|IN3420220094
66UP31,NSE_EQ|IN3320200220
662UP30,NSE_EQ|IN3320200212
INDIQUBE,NSE_EQ|INE06ST01018
ADVENTHTL,NSE_EQ|INE28GN01010
661UP31,NSE_EQ|IN3320200238
747GA34,NSE_EQ|IN1420230238
656AS30,NSE_EQ|IN1220200100
752GA39,NSE_EQ|IN1420230246
766GJ32,NSE_EQ|IN1520230195
66UP30A,NSE_EQ|IN3320200204
747GJ28,NSE_EQ|IN1520230179
UNIVCABLES,NSE_EQ|INE279A01012
764GJ31,NSE_EQ|IN1520230187
767GA33A,NSE_EQ|IN1420230204
769GA34,NSE_EQ|IN1420230212
758GJ32,NSE_EQ|IN1520230153
743GJ27,NSE_EQ|IN1520230161
765GA34,NSE_EQ|IN1420230220
SILINV,NSE_EQ|INE923A01015
755GJ31,NSE_EQ|IN1520230138
662AS30,NSE_EQ|IN1220200175
74GJ26,NSE_EQ|IN1520230146
66AS30A,NSE_EQ|IN1220200183
765GJ29A,NSE_EQ|IN1520230112
664AS30,NSE_EQ|IN1220200167
766GJ30A,NSE_EQ|IN1520230120
758GJ26,NSE_EQ|IN1520230104
BCPL,NSE_EQ|INE00SW01015
66AS30,NSE_EQ|IN1220200142
648AS30,NSE_EQ|IN1220200118
TDPOWERSYS,NSE_EQ|INE419M01027
PRAJIND,NSE_EQ|INE074A01025
TIINDIA,NSE_EQ|INE974X01010
ETL,NSE_EQ|INE0PXC01024
NXT-INFRA,NSE_EQ|INE0SF023016
658UP30,NSE_EQ|IN3320200188
66UP30,NSE_EQ|IN3320200170
COASTCORP,NSE_EQ|INE377E01024
656UP30,NSE_EQ|IN3320200196
654UP30,NSE_EQ|IN3320200147
751UK35,NSE_EQ|IN3620250073
663UP30,NSE_EQ|IN3320200139
759UK38,NSE_EQ|IN3620250081
UNITDSPR,NSE_EQ|INE854D01024
706UK32,NSE_EQ|IN3620250057
659UP30,NSE_EQ|IN3320200162
642UP30,NSE_EQ|IN3320200154
764UK32,NSE_EQ|IN3620250065
VIPCLOTHNG,NSE_EQ|INE450G01024
674UP30,NSE_EQ|IN3320200105
CRIZAC,NSE_EQ|INE0S4R01014
697UK35,NSE_EQ|IN3620250032
TECH,NSE_EQ|INF209KB11D8
73UK32,NSE_EQ|IN3620250040
691UP30A,NSE_EQ|IN3320200121
PRICOLLTD,NSE_EQ|INE726V01018
674UK35,NSE_EQ|IN3620250016
69UP30,NSE_EQ|IN3320200113
FABTECH,NSE_EQ|INE0HF201011
674UK35A,NSE_EQ|IN3620250024
NAVKARCORP,NSE_EQ|INE278M01019
APEXECO,NSE_EQ|INE0T4V01015
745GJ31,NSE_EQ|IN1520230070
762GJ28,NSE_EQ|IN1520230088
738GJ30A,NSE_EQ|IN1520230054
74GJ27,NSE_EQ|IN1520230062
SUVEN,NSE_EQ|INE495B01038
718GJ28,NSE_EQ|IN1520230039
758UK38,NSE_EQ|IN3620250099
722GJ28,NSE_EQ|IN1520230047
MODTHREAD,NSE_EQ|INE794W01014
738GJ30,NSE_EQ|IN1520230013
67AS27,NSE_EQ|IN1220200290
727GJ31,NSE_EQ|IN1520230021
707AS31,NSE_EQ|IN1220200282
OMFREIGHT,NSE_EQ|INE1BZC01019
UNIVAFOODS,NSE_EQ|INE275F01019
698AS31,NSE_EQ|IN1220200266
CMRSL,NSE_EQ|INE075Z01011
764WB42,NSE_EQ|IN3420220219
668UP30,NSE_EQ|IN3320200097
766WB39,NSE_EQ|IN3420220227
GMMPFAUDLR,NSE_EQ|INE541A01023
771WB39,NSE_EQ|IN3420220235
769WB39,NSE_EQ|IN3420220243
OMNI,NSE_EQ|INE0UH301010
TVSINVIT,NSE_EQ|INE1JNC23012
769WB42,NSE_EQ|IN3420220250
644UP30,NSE_EQ|IN3320200063
65UP30,NSE_EQ|IN3320200055
775WB39,NSE_EQ|IN3420220268
779WB42,NSE_EQ|IN3420220276
664UP30,NSE_EQ|IN3320200089
774WB41,NSE_EQ|IN3420220284
667UP30,NSE_EQ|IN3320200071
744GA33,NSE_EQ|IN1420230071
774WB43,NSE_EQ|IN3420220292
70UP30,NSE_EQ|IN3320200022
765UP30,NSE_EQ|IN3320200014
747GA33,NSE_EQ|IN1420230089
BSLSENETFG,NSE_EQ|INF209KB10E8
JSL,NSE_EQ|INE220G01021
669UP30,NSE_EQ|IN3320200048
746GA38,NSE_EQ|IN1420230097
HEALTHY,NSE_EQ|INF209KB10C2
686UP30,NSE_EQ|IN3320200030
738GA33,NSE_EQ|IN1420230030
ADANIPORTS,NSE_EQ|INE742F01042
741GA33,NSE_EQ|IN1420230048
75GA33,NSE_EQ|IN1420230055
749GA33,NSE_EQ|IN1420230063
717AS31,NSE_EQ|IN1220200332
736GA33,NSE_EQ|IN1420230014
747GA38,NSE_EQ|IN1420230022
AFSL,NSE_EQ|INE00ZE01026
VOLTAS,NSE_EQ|INE226A01021
PERFECT,NSE_EQ|INE925S01012
724AS31,NSE_EQ|IN1220200308
DTL,NSE_EQ|INE0JRD01019
BMETRICS,NSE_EQ|INE0I3Y01014
RUSTOMJEE,NSE_EQ|INE263M01029
AVADHSUGAR,NSE_EQ|INE349W01017
789WB40,NSE_EQ|IN3420220300
GOODLUCK,NSE_EQ|INE127I01024
785WB42,NSE_EQ|IN3420220318
685AS31,NSE_EQ|IN1220200365
744GJ33,NSE_EQ|IN1520250383
738GJ35,NSE_EQ|IN1520250375
729GJ34,NSE_EQ|IN1520250367
741GJ37,NSE_EQ|IN1520250359
723GJ33,NSE_EQ|IN1520250342
74GJ36A,NSE_EQ|IN1520250334
703GJ32,NSE_EQ|IN1520250326
74GJ36,NSE_EQ|IN1520250318
724GJ33,NSE_EQ|IN1520250300
NETWEB,NSE_EQ|INE0NT901020
HBLENGINE,NSE_EQ|INE292B01021
ESAFSFB,NSE_EQ|INE818W01011
AVG,NSE_EQ|INE680Z01018
698GJ31A,NSE_EQ|IN1520250292
GRASIM,NSE_EQ|INE047A01021
702GJ31,NSE_EQ|IN1520250284
LUPIN,NSE_EQ|INE326A01037
717GJ32,NSE_EQ|IN1520250276
747GJ36,NSE_EQ|IN1520250268
716GJ31,NSE_EQ|IN1520250250
707GJ30,NSE_EQ|IN1520250243
727GJ34,NSE_EQ|IN1520250227
AVALON,NSE_EQ|INE0LCL01028
719GJ33,NSE_EQ|IN1520250219
DELTACORP,NSE_EQ|INE124G01033
717GJ34,NSE_EQ|IN1520250201
ITTL,NSE_EQ|INE070Y01023
PIGL,NSE_EQ|INE557Z01018
UNIVASTU,NSE_EQ|INE562X01013
NMDC,NSE_EQ|INE584A01023
CHAMBLFERT,NSE_EQ|INE085A01013
BLKASHYAP,NSE_EQ|INE350H01032
MASON,NSE_EQ|INE0SH001010
ADVAIT,NSE_EQ|INE0ALI01010
C2C,NSE_EQ|INE0U7V01015
ZENITHDRUG,NSE_EQ|INE0QWN01013
77NVCL28,NSE_EQ|INE118D08078
SDBL,NSE_EQ|INE480C01038
DBCORP,NSE_EQ|INE950I01011
707GJ33,NSE_EQ|IN1520250193
KABRAEXTRU,NSE_EQ|INE900B01029
698GJ32,NSE_EQ|IN1520250185
684GJ31B,NSE_EQ|IN1520250177
707GJ34A,NSE_EQ|IN1520250169
ALIVUS,NSE_EQ|INE03Q201024
706GJ33,NSE_EQ|IN1520250151
707GJ32A,NSE_EQ|IN1520250144
701GJ31A,NSE_EQ|IN1520250136
725GJ34,NSE_EQ|IN1520250128
702GJ33A,NSE_EQ|IN1520250110
680GJ34,NSE_EQ|IN1520250102
698SHFL28,NSE_EQ|INE667F07JF4
712SHFL30,NSE_EQ|INE667F07JE7
IL&FSTRANS,NSE_EQ|INE975G01012
BSOFT,NSE_EQ|INE836A01035
715SHFL28,NSE_EQ|INE667F07JB3
TARACHAND,NSE_EQ|INE555Z01020
727SHFL27,NSE_EQ|INE667F07JA5
63MOONS,NSE_EQ|INE111B01023
INDIGOPNTS,NSE_EQ|INE09VQ01012
717SHFL30,NSE_EQ|INE667F07JD9
715SHFL30,NSE_EQ|INE667F07JC1
781UP34A,NSE_EQ|IN3320220194
SUNTECK,NSE_EQ|INE805D01034
PVP,NSE_EQ|INE362A01016
778UP36,NSE_EQ|IN3320220178
BELRISE,NSE_EQ|INE894V01022
779UP33,NSE_EQ|IN3320220186
774UP37,NSE_EQ|IN3320220152
688MP41,NSE_EQ|IN2120250039
MOKSH,NSE_EQ|INE514Y01020
677MP39,NSE_EQ|IN2120250021
778UP35,NSE_EQ|IN3320220160
VOLTAMP,NSE_EQ|INE540H01012
775UP38,NSE_EQ|IN3320220137
733GS2026,NSE_EQ|IN0020230119
AKANKSHA,NSE_EQ|INE0PCY01014
714MP41,NSE_EQ|IN2120250054
737GS2028,NSE_EQ|IN0020230101
773UP33,NSE_EQ|IN3320220145
692MP43,NSE_EQ|IN2120250047
766UP33A,NSE_EQ|IN3320220111
723MP42,NSE_EQ|IN2120250070
732GS2030,NSE_EQ|IN0020230135
688PY31,NSE_EQ|IN3820190079
775UP35,NSE_EQ|IN3320220129
746GS2073,NSE_EQ|IN0020230127
735PY30,NSE_EQ|IN3820190087
715MP43A,NSE_EQ|IN2120250062
724GR2033,NSE_EQ|IN0020230150
703PY28,NSE_EQ|IN3820190061
722MP43,NSE_EQ|IN2120250096
725GR2028,NSE_EQ|IN0020230143
766UP33,NSE_EQ|IN3320220103
737GR2054,NSE_EQ|IN0020230176
708PY26,NSE_EQ|IN3820190038
670GJ33,NSE_EQ|IN1520250094
SGBDE31III,NSE_EQ|IN0020230168
721PY28,NSE_EQ|IN3820190046
61GJ28,NSE_EQ|IN1520250085
SGBFEB32IV,NSE_EQ|IN0020230184
651GJ33,NSE_EQ|IN1520250078
TECHD,NSE_EQ|INE0Y5H01014
665GJ37,NSE_EQ|IN1520250060
664GJ36,NSE_EQ|IN1520250052
HFCL,NSE_EQ|INE548A01028
669GJ35,NSE_EQ|IN1520250045
677MP37,NSE_EQ|IN2120250013
VIVIDHA,NSE_EQ|INE370E01029
669GJ34,NSE_EQ|IN1520250037
668GJ33,NSE_EQ|IN1520250029
TOLINS,NSE_EQ|INE0RWQ01014
AARON,NSE_EQ|INE721Z01010
SBIMIDMOM,NSE_EQ|INF200KB1AJ0
661GJ32,NSE_EQ|IN1520250011
KALYANIFRG,NSE_EQ|INE314G01014
MONARCH,NSE_EQ|INE903D01011
SENSEXIETF,NSE_EQ|INF346A01034
725BACL28,NSE_EQ|INE18UV07012
SHYAMTEL,NSE_EQ|INE635A01023
764UP36,NSE_EQ|IN3320220095
GURUNANAK,NSE_EQ|INE1CCX01012
769UP35,NSE_EQ|IN3320220079
GPTINFRA,NSE_EQ|INE390G01014
772UP36,NSE_EQ|IN3320220087
JINDALPOLY,NSE_EQ|INE197D01010
791UP37,NSE_EQ|IN3320220053
SBINMID150,NSE_EQ|INF200KB1AK8
METROBRAND,NSE_EQ|INE317I01021
762UP35,NSE_EQ|IN3320220061
770SHFL29,NSE_EQ|INE667F07IX9
781UP32,NSE_EQ|IN3320220038
75MP44,NSE_EQ|IN2120250153
781UP34,NSE_EQ|IN3320220046
748MP42,NSE_EQ|IN2120250146
766UP32,NSE_EQ|IN3320220012
744MP46,NSE_EQ|IN2120250179
768UP32,NSE_EQ|IN3320220020
778SHFL28,NSE_EQ|INE667F07IY7
AMRUTANJAN,NSE_EQ|INE098F01031
743MP43,NSE_EQ|IN2120250161
770SHFL27,NSE_EQ|INE667F07IZ4
706GS2028,NSE_EQ|IN0020230010
798SHFL26,NSE_EQ|INE667F07IT7
751MP48,NSE_EQ|IN2120250195
TREL,NSE_EQ|INE0O3901029
805SHFL29,NSE_EQ|INE667F07IS9
748MP45,NSE_EQ|IN2120250187
79SHFL27,NSE_EQ|INE667F07IV3
717GS2030,NSE_EQ|IN0020230036
765SHFL29,NSE_EQ|INE667F07IW1
79123SHF26,NSE_EQ|INE667F07IU5
699GS2026,NSE_EQ|IN0020230028
73GS2053,NSE_EQ|IN0020230051
725GS2063,NSE_EQ|IN0020230044
RCDL,NSE_EQ|INE0BZQ01011
NACLIND,NSE_EQ|INE295D01020
718GS2037,NSE_EQ|IN0020230077
795SHFL34,NSE_EQ|INE667F07IR1
SGBJUN31I,NSE_EQ|IN0020230069
722MP48,NSE_EQ|IN2120250112
SGBSEP31II,NSE_EQ|IN0020230093
718GS2033,NSE_EQ|IN0020230085
724MP45,NSE_EQ|IN2120250104
757MP45,NSE_EQ|IN2120250138
DEEPAKFERT,NSE_EQ|INE501A01019
MUTHOOTFIN,NSE_EQ|INE414G01012
757MP43,NSE_EQ|IN2120250120
754MH37,NSE_EQ|IN2220250442
TARMAT,NSE_EQ|INE924H01018
RITCO,NSE_EQ|INE01EG01016
744MH34,NSE_EQ|IN2220250434
FEL,NSE_EQ|INE623B01027
VALUE,NSE_EQ|INF769K01QV2
748MH45,NSE_EQ|IN2220250418
69MH30,NSE_EQ|IN2220250426
733MH34,NSE_EQ|IN2220250491
MANAKCOAT,NSE_EQ|INE830Q01018
748MH37,NSE_EQ|IN2220250483
734MH34,NSE_EQ|IN2220250475
677MH30,NSE_EQ|IN2220250467
IDEA,NSE_EQ|INE669E01016
RHIM,NSE_EQ|INE743M01012
711AP38B,NSE_EQ|IN1020240710
716AP40,NSE_EQ|IN1020240728
72AP36,NSE_EQ|IN1020240736
722AP34,NSE_EQ|IN1020240744
729MH35,NSE_EQ|IN2220250400
708AP35A,NSE_EQ|IN1020240702
754MP48,NSE_EQ|IN2120250278
717AP39,NSE_EQ|IN1020240678
717AP32,NSE_EQ|IN1020240686
744MP38,NSE_EQ|IN2120250260
TERASOFT,NSE_EQ|INE482B01010
75MP36,NSE_EQ|IN2120250294
707AP34,NSE_EQ|IN1020240694
SUDARSCHEM,NSE_EQ|INE659A01023
702MP30,NSE_EQ|IN2120250286
710AP34,NSE_EQ|IN1020240629
711AP38A,NSE_EQ|IN1020240637
711AP39,NSE_EQ|IN1020240645
717AP37,NSE_EQ|IN1020240652
717AP38,NSE_EQ|IN1020240660
74MP47,NSE_EQ|IN2120250211
743MH40,NSE_EQ|IN2220250392
74MP46,NSE_EQ|IN2120250203
72MH34,NSE_EQ|IN2220250384
746MP43,NSE_EQ|IN2120250237
JINDALSAW,NSE_EQ|INE324A01032
GS220231C,NSE_EQ|IN000231C026
745MP41,NSE_EQ|IN2120250229
72MP33,NSE_EQ|IN2120250252
745MP44B,NSE_EQ|IN2120250245
726MH42,NSE_EQ|IN2220250335
727MH36,NSE_EQ|IN2220250319
726MH41,NSE_EQ|IN2220250327
716UBI36,NSE_EQ|INE692A08235
PHOENIXLTD,NSE_EQ|INE211B01039
724MH34,NSE_EQ|IN2220250301
725MH37,NSE_EQ|IN2220250376
707MH33,NSE_EQ|IN2220250368
729MH50,NSE_EQ|IN2220250350
734MP34,NSE_EQ|IN2120250401
72MH36,NSE_EQ|IN2220250343
708AP37,NSE_EQ|IN1020240801
KKVAPOW,NSE_EQ|INE239T01016
784MP47,NSE_EQ|IN2120250393
707AP36,NSE_EQ|IN1020240793
782MP42,NSE_EQ|IN2120250385
TORNTPOWER,NSE_EQ|INE813H01021
80NL30,NSE_EQ|IN2620200013
BAJAJELEC,NSE_EQ|INE193E01025
PRIMESECU,NSE_EQ|INE032B01021
67NL30,NSE_EQ|IN2620200039
722AP35,NSE_EQ|IN1020240751
INDOBORAX,NSE_EQ|INE803D01021
652NL30,NSE_EQ|IN2620200021
728AP36,NSE_EQ|IN1020240769
65NL30,NSE_EQ|IN2620200054
704AP33,NSE_EQ|IN1020240777
691NL30,NSE_EQ|IN2620200047
709AP35,NSE_EQ|IN1020240785
695MP30,NSE_EQ|IN2120250310
CIEINDIA,NSE_EQ|INE536H01010
705NL31,NSE_EQ|IN2620200070
718MH33,NSE_EQ|IN2220250293
662NL30,NSE_EQ|IN2620200062
754MP46,NSE_EQ|IN2120250302
674MH29,NSE_EQ|IN2220250285
759MP44,NSE_EQ|IN2120250336
759MP38A,NSE_EQ|IN2120250328
PCCL,NSE_EQ|INE998U01015
SHADOWFAX,NSE_EQ|INE12UN01015
768MP43,NSE_EQ|IN2120250351
734MP33,NSE_EQ|IN2120250344
LAOPALA,NSE_EQ|INE059D01020
744MP34,NSE_EQ|IN2120250377
INOXWIND,NSE_EQ|INE066P01011
MCL,NSE_EQ|INE813V01022
763MP48,NSE_EQ|IN2120250369
SCPL,NSE_EQ|INE501Y01019
EQUAL50,NSE_EQ|INF769K01OO2
JSWINFRA,NSE_EQ|INE880J01026
ABBOTINDIA,NSE_EQ|INE358A01014
AHLADA,NSE_EQ|INE00PV01013
VMART,NSE_EQ|INE665J01013
744MP35A,NSE_EQ|IN2120250500
SIGIND,NSE_EQ|INE529F01035
765MP41,NSE_EQ|IN2120250518
SELECTIPO,NSE_EQ|INF769K01ON4
E2ERAIL,NSE_EQ|INE1CEJ01017
STEELCITY,NSE_EQ|INE395H01011
725AP44,NSE_EQ|IN1020240504
NCC,NSE_EQ|INE868B01028
734AP44,NSE_EQ|IN1020240439
734AP49A,NSE_EQ|IN1020240447
AEROFLEX,NSE_EQ|INE024001021
INTERNET,NSE_EQ|INF769K01PB6
CASTROLIND,NSE_EQ|INE172A01027
724AP36,NSE_EQ|IN1020240454
ZAGGLE,NSE_EQ|INE07K301024
727AP41,NSE_EQ|IN1020240462
GALAPREC,NSE_EQ|INE0RE001014
733AP43A,NSE_EQ|IN1020240405
733AP40,NSE_EQ|IN1020240413
733AP39,NSE_EQ|IN1020240421
772MP49,NSE_EQ|IN2120250435
762MP39,NSE_EQ|IN2120250419
772MP45,NSE_EQ|IN2120250427
756MP39,NSE_EQ|IN2120250450
74MP35,NSE_EQ|IN2120250443
ONGC,NSE_EQ|INE213A01029
745MP36,NSE_EQ|IN2120250476
VTL,NSE_EQ|INE825A01020
723AP46,NSE_EQ|IN1020240470
723AP34,NSE_EQ|IN1020240488
763MP41,NSE_EQ|IN2120250468
774MP47,NSE_EQ|IN2120250492
725AP37,NSE_EQ|IN1020240496
765MP40,NSE_EQ|IN2120250484
SMALL250,NSE_EQ|INF769K01PQ4
ENERGY,NSE_EQ|INF769K01PR2
MEGASTAR,NSE_EQ|INE00EM01016
BSHSL,NSE_EQ|INE032Z01020
ROSSARI,NSE_EQ|INE02A801020
DIVIDEND,NSE_EQ|INF769K01PY8
TOP20,NSE_EQ|INF769K01PZ5
735NABAR31,NSE_EQ|INE261F07057
714AP34A,NSE_EQ|IN1020240603
718AP40A,NSE_EQ|IN1020240611
SSFLPP,NSE_EQ|IN9572J01019
757MH36,NSE_EQ|IN2220250533
766MH52,NSE_EQ|IN2220250517
683MH30,NSE_EQ|IN2220250525
766MH47,NSE_EQ|IN2220250509
INFRA,NSE_EQ|INF769K01QB4
POLYSIL,NSE_EQ|INE517M01028
715AP39,NSE_EQ|IN1020240553
DEFENCE,NSE_EQ|INF769K01QC2
717AP43,NSE_EQ|IN1020240561
MSUMI,NSE_EQ|INE0FS801015
716AP47,NSE_EQ|IN1020240579
OSIAHYPER,NSE_EQ|INE06IR01021
715AP42,NSE_EQ|IN1020240587
725AP47,NSE_EQ|IN1020240512
711AP38,NSE_EQ|IN1020240520
714AP44,NSE_EQ|IN1020240538
HEALTHCARE,NSE_EQ|INF769K01QA6
764NABAR31,NSE_EQ|INE261F07032
714AP48,NSE_EQ|IN1020240546
IRCTC,NSE_EQ|INE335Y01020
715AP47,NSE_EQ|IN1020240595
CHEMCON,NSE_EQ|INE03YM01018
ERIS,NSE_EQ|INE406M01024
IDEALTECHO,NSE_EQ|INE0T9I01011
INDIANCARD,NSE_EQ|INE061A01014
INNOVANA,NSE_EQ|INE403Y01018
DATAMATICS,NSE_EQ|INE365B01017
NAVA,NSE_EQ|INE725A01030
668WB30,NSE_EQ|IN3420200096
662WB35,NSE_EQ|IN3420200088
AFFLE,NSE_EQ|INE00WC01027
646WB30,NSE_EQ|IN3420200070
654WB35,NSE_EQ|IN3420200062
655WB30,NSE_EQ|IN3420200054
665WB30,NSE_EQ|IN3420200047
65WB30,NSE_EQ|IN3420200039
685WB30A,NSE_EQ|IN3420200021
ADANIENSOL,NSE_EQ|INE931S01010
685WB30,NSE_EQ|IN3420200013
BLUESTONE,NSE_EQ|INE304W01038
776GA38,NSE_EQ|IN1420250160
752GA37,NSE_EQ|IN1420250152
LIQUIDPLUS,NSE_EQ|INF769K01MY5
LIBERTSHOE,NSE_EQ|INE557B01019
NRL,NSE_EQ|INE0JM501013
728GA37,NSE_EQ|IN1420250111
75GA36,NSE_EQ|IN1420250145
725GA36,NSE_EQ|IN1420250129
734GA35,NSE_EQ|IN1420250137
GLOBAL,NSE_EQ|INE291W01037
PRAXIS,NSE_EQ|INE546Y01022
737GA36,NSE_EQ|IN1420250103
3PLAND,NSE_EQ|INE105C01023
CONTROLPR,NSE_EQ|INE663B01015
HPIL,NSE_EQ|INE05X901010
HRHNEXT,NSE_EQ|INE0R3501012
SAGCEM,NSE_EQ|INE229C01021
663WB41,NSE_EQ|IN3420200195
66WB30,NSE_EQ|IN3420200187
CONSUMER,NSE_EQ|INF769K01NS5
668WB35,NSE_EQ|IN3420200179
671WB40,NSE_EQ|IN3420200161
678WB35,NSE_EQ|IN3420200153
688WB40,NSE_EQ|IN3420200146
EQUAL200,NSE_EQ|INF769K01OA1
699WB35,NSE_EQ|IN3420200138
709WB40,NSE_EQ|IN3420200120
704WB35,NSE_EQ|IN3420200112
677WB40,NSE_EQ|IN3420200104
NEPTUNE,NSE_EQ|INE156901014
IPL,NSE_EQ|INE0D6701023
SAJHOTELS,NSE_EQ|INE00MT01022
70MP31,NSE_EQ|IN2120210017
SILVERAG,NSE_EQ|INF769K01KG6
RTNPOWER,NSE_EQ|INE399K01017
GSEC10YEAR,NSE_EQ|INF769K01KF8
CAMLINFINE,NSE_EQ|INE052I01032
NSIL,NSE_EQ|INE023A01030
VADILALIND,NSE_EQ|INE694D01016
708MP29,NSE_EQ|IN2120210066
BANKETF,NSE_EQ|INF769K01KR3
733MP42,NSE_EQ|IN2120210058
699MP41,NSE_EQ|IN2120210041
685MP31,NSE_EQ|IN2120210033
COCHINSHIP,NSE_EQ|INE704P01025
599MP26,NSE_EQ|IN2120210025
683WB31,NSE_EQ|IN3420200294
719WB36,NSE_EQ|IN3420200286
BALKRISHNA,NSE_EQ|INE875R01011
725WB41,NSE_EQ|IN3420200278
723WB41,NSE_EQ|IN3420200260
705WB31,NSE_EQ|IN3420200252
IRFC,NSE_EQ|INE053F01010
